Serial Number,Error Type,Ungrammatical Statement,Standard English
357,Preposition Usage,She will come home in the evening.,She will come home during the evening.
358,Preposition Usage,The book was written from a famous author.,The book was written by a famous author.
359,Preposition Usage,The meeting will be held on the conference room.,The meeting will be held in the conference room.
360,Preposition Usage,I found the wallet under the sofa.,I found the wallet beneath the sofa.
361,Preposition Usage,She is reading a book about the history.,She is reading a book on the history.
362,Preposition Usage,The movie starts in 7 PM.,The movie starts at 7 PM.
363,Preposition Usage,The vase is placed on the table.,The vase is placed upon the table.
364,Preposition Usage,He lives in a small village near the mountains.,He lives in a small village close to the mountains.
365,Preposition Usage,The concert was cancelled due the rain.,The concert was cancelled due to the rain.
366,Preposition Usage,The cat jumped off the table.,The cat jumped from the table.
367,Preposition Usage,He is working on a new project.,He is working upon a new project.
368,Preposition Usage,They were arguing about the issue.,They were arguing over the issue.
369,Preposition Usage,The bus stopped at the corner.,The bus stopped on the corner.
370,Preposition Usage,The flowers are growing by the river.,The flowers are growing alongside the river.
371,Preposition Usage,She was sitting on a bench in the park.,She was sitting on a bench at the park.
372,Preposition Usage,The building is surrounded with trees.,The building is surrounded by trees.
373,Preposition Usage,The train goes through the tunnel.,The train goes across the tunnel.
374,Preposition Usage,He is reading a book on the library.,He is reading a book in the library.
375,Preposition Usage,I have to pay my bills until Friday.,I have to pay my bills by Friday.
376,Preposition Usage,The cake was shared between the children.,The cake was shared among the children.
377,Preposition Usage,She was carrying a bag on her shoulder.,She was carrying a bag over her shoulder.
378,Preposition Usage,The car is parked behind the building.,The car is parked in back of the building.
379,Preposition Usage,The shop is located at the end of the street.,The shop is located on the end of the street.
380,Preposition Usage,The kids are playing outside the house.,The kids are playing outside of the house.
381,Preposition Usage,She was standing beside the window.,She was standing next to the window.
382,Preposition Usage,The painting is hanging on the wall.,The painting is hanging upon the wall.
383,Preposition Usage,The book was lying over the table.,The book was lying on the table.
384,Preposition Usage,The concert will be held in the park.,The concert will be held at the park.
385,Preposition Usage,They were walking along the beach.,They were walking beside the beach.
386,Preposition Usage,The building is located at the city center.,The building is located in the city center.
387,Preposition Usage,The bird was sitting on the tree.,The bird was sitting in the tree.
388,Preposition Usage,The party will start in 8 PM.,The party will start at 8 PM.
389,Preposition Usage,She was sitting on the chair.,She was sitting in the chair.
390,Preposition Usage,The meeting is scheduled on 10 AM.,The meeting is scheduled at 10 AM.
391,Preposition Usage,He was leaning on the wall.,He was leaning against the wall.
392,Preposition Usage,They were talking about their plans.,They were talking of their plans.
393,Preposition Usage,The plane was flying above the clouds.,The plane was flying over the clouds.
394,Preposition Usage,The car is parked in front of the house.,The car is parked in front the house.
395,Preposition Usage,He is waiting for her on the restaurant.,He is waiting for her at the restaurant.
396,Sentence Structure Errors,I be going to the store to buy groceries.,I am going to the store to buy groceries.
397,Sentence Structure Errors,He no likes pineapple on his pizza.,He doesn't like pineapple on his pizza.
398,Sentence Structure Errors,She very tired after the long day at work.,She is very tired after the long day at work.
399,Sentence Structure Errors,The dog chased it's tail for hours.,The dog chased its tail for hours.
400,Sentence Structure Errors,He play guitar at the concert last night.,He played guitar at the concert last night.
401,Sentence Structure Errors,John and I dog went for a walk.,John's and my dog went for a walk.
402,Sentence Structure Errors,The cake needs to bake in oven for 30 minutes.,The cake needs to bake in the oven for 30 minutes.
403,Sentence Structure Errors,She sung a beautiful song at the talent show.,She sang a beautiful song at the talent show.
404,Sentence Structure Errors,He won't able came to the party tonight.,He won't be able to come to the party tonight.
405,Sentence Structure Errors,The car needs repaired before we can drive it.,The car needs to be repaired before we can drive it.
406,Sentence Structure Errors,She running in the park every morning.,She runs in the park every morning.
407,Sentence Structure Errors,The childrens had a lot of fun at the playground.,The children had a lot of fun at the playground.
408,Sentence Structure Errors,The book layed on the table for weeks.,The book lay on the table for weeks.
409,Sentence Structure Errors,I needs help with this heavy box.,I need help with this heavy box.
410,Sentence Structure Errors,I wants to learn how to cook a new recipe.,I want to learn how to cook a new recipe.
411,Sentence Structure Errors,We was playing soccer when it started to rain.,We were playing soccer when it started to rain.
412,Sentence Structure Errors,The laptops on the desk are belong to him.,The laptops on the desk belong to him.
413,Sentence Structure Errors,She going to the beach for vacation tomorrow.,She is going to the beach for vacation tomorrow.
